How many sets of the standard Epoch were produced in 2025?,There were 239 sets produced annually.
What is the assembly number for the H1 Dispenser?,The assembly number is 90-8043032.
How many H1 Dispenser sets were produced in 2025?,There were 217 sets produced annually.
The H1 Dispenser assembly (90-8043032) is typically paired with which main unit?,It is paired with the H1 Main (90-8043033).
What is the assembly number for the 405 Q?,The assembly number is 90-1173032.
How many 405 Q sets were produced in 2025?,There were 175 sets produced annually.
What is the assembly number for the Immucor Accessory?,The assembly number is 90-8063020.
What was the annual volume for the Immucor Accessory in 2025?,The annual volume was 144 sets.
What design is used for the Immucor Accessory packaging?,It uses a sleeve-in-box design.
What is the assembly number for the Immucor main unit?,The assembly number is 90-8063024.
How many Immucor main unit sets were produced in 2025?,There were 142 sets produced annually.
What unique base component is included in the Immucor main assembly?,It includes a plywood base panel.
What is the assembly number for the MFXPW Main?,The assembly number is 90-1263002.
How many MFXPW Main sets were produced in 2025?,There were 133 sets produced annually.
What instrument is shipped in the MFXPW Main assembly?,It ships the BioTek MultiFlo FX multimode dispenser.
What is the assembly number for the Biostacker Accessory?,The assembly number is 90-7313001.
How many Biostacker Accessory sets were produced in 2025?,There were 131 sets produced annually.
Which item is described as the lowest-cost and simplest item in the top 20?,The Biostacker Accessory is the simplest and lowest-cost item.
The Biostacker Accessory (90-7313001) is associated with which main assembly?,It is associated with the Biostacker 3 (90-1163003).
What are the dimensions of the Biostacker Accessory box?,The dimensions are approximately $20 \times 15 \times 10$ inches.
How do the assembly numbers for the Epoch and Epoch 2 differ?,"The Epoch is 90-7203006, while the Epoch 2 is 90-1333003."
